Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-01-04 00:00:00-05:00,63.09395960981687,63.437040148342014,62.62535292550409,63.42030715942383,3957900,0.0,0.0,0.0
2016-01-05 00:00:00-05:00,63.537473369209444,63.6629931626714,63.127448002488826,63.570945739746094,1367300,0.0,0.0,0.0
2016-01-06 00:00:00-05:00,62.60025306249962,62.85129259695291,61.98103029750221,62.40779495239258,2094600,0.0,0.0,0.0
2016-01-07 00:00:00-05:00,61.26139819889817,61.9559354658552,60.817900498181466,60.99362564086914,2613100,0.0,0.0,0.0
2016-01-08 00:00:00-05:00,61.28650402602216,61.478968554583844,60.18194136940292,60.24888610839844,2007800,0.0,0.0,0.0
2016-01-11 00:00:00-05:00,60.47481055832747,60.67564475517598,59.42045975377756,60.05641555786133,3731800,0.0,0.0,0.0
2016-01-12 00:00:00-05:00,60.50828639482514,60.7927983312444,59.52087388172554,60.3409309387207,2219200,0.0,0.0,0.0
2016-01-13 00:00:00-05:00,60.53338178306417,60.73421596723903,58.650604399779255,58.82633590698242,2761200,0.0,0.0,0.0
2016-01-14 00:00:00-05:00,58.98532586418156,60.01458038285783,58.307528000785666,59.62965774536133,2812000,0.0,0.0,0.0
2016-01-15 00:00:00-05:00,58.07322792016975,58.66734806064723,57.6464632278658,58.49162292480469,2788600,0.0,0.0,0.0
2016-01-19 00:00:00-05:00,58.99370063172129,59.17779547076772,57.73851551189743,58.31590270996094,2835900,0.0,0.0,0.0
2016-01-20 00:00:00-05:00,57.50422000269862,58.257332412878746,56.014734560454684,57.696678161621094,3984000,0.0,0.0,0.0
2016-01-21 00:00:00-05:00,57.91425082682504,58.89329385990647,57.44565034279348,58.2238655090332,1671100,0.0,0.0,0.0
2016-01-22 00:00:00-05:00,59.06901336786931,59.612928239850504,58.85145252643857,59.37025833129883,1068100,0.0,0.0,0.0
2016-01-25 00:00:00-05:00,59.144320099763476,59.22799782666457,58.190379967848045,58.24058532714844,1235700,0.0,0.0,0.0
2016-01-26 00:00:00-05:00,58.55021170223768,59.38700190776527,58.44979457926143,59.31168746948242,775400,0.0,0.0,0.0
2016-01-27 00:00:00-05:00,59.144329482523624,59.96438665833288,58.50000386054677,58.85981750488281,1400100,0.0,0.0,0.0
2016-01-28 00:00:00-05:00,59.33678386418179,59.47066694868373,58.46652147021477,58.901649475097656,1169800,0.0,0.0,0.0
2016-01-29 00:00:00-05:00,59.219624007294115,60.566856384277344,59.18615802622948,60.566856384277344,1000400,0.0,0.0,0.0
2016-02-01 00:00:00-05:00,60.106635256621644,60.85137794531091,59.872335046814044,60.54176330566406,3406400,0.0,0.0,0.0
2016-02-02 00:00:00-05:00,59.98111260926946,59.98111260926946,59.10248048009222,59.28657531738281,1211800,0.0,0.0,0.0
2016-02-03 00:00:00-05:00,59.671491945308304,60.0313118951785,58.39957397379097,59.863956451416016,2214400,0.0,0.0,0.0
2016-02-04 00:00:00-05:00,59.73008396527703,60.70076369074457,59.73008396527703,60.207054138183594,1521100,0.0,0.0,0.0
2016-02-05 00:00:00-05:00,60.00622328999144,60.02296266881406,59.00207762351742,59.18617248535156,1297900,0.0,0.0,0.0
2016-02-08 00:00:00-05:00,58.45815848791078,58.45815848791078,57.15276793932389,57.93934631347656,2050200,0.0,0.0,0.0
2016-02-09 00:00:00-05:00,57.26153813266553,58.22384787887428,57.24480514224662,57.76361083984375,2052100,0.0,0.0,0.0
2016-02-10 00:00:00-05:00,58.04814734860134,58.69247309207768,57.746902319800995,57.7971076965332,1236800,0.0,0.0,0.0
2016-02-11 00:00:00-05:00,56.82641182227615,57.33684784753443,56.35780508219157,56.977027893066406,2591000,0.0,0.0,0.0
2016-02-12 00:00:00-05:00,57.49586348956242,58.223873383603134,57.21135783840854,58.21550369262695,1333900,0.0,0.0,0.0
2016-02-16 00:00:00-05:00,58.7928696765876,59.37862014770508,58.52509712061942,59.37862014770508,1481000,0.0,0.0,0.0
2016-02-17 00:00:00-05:00,59.78027315196592,60.63379605024142,59.78027315196592,60.47480392456055,880600,0.0,0.0,0.0
2016-02-18 00:00:00-05:00,60.55012055309759,60.55012055309759,60.08988353253926,60.34929275512695,1129400,0.0,0.0,0.0
