Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,159.62520610191507,160.05962941848063,154.03426476980187,156.3008575439453,3164800,0.0,0.0
2021-01-05 00:00:00-05:00,156.00813756561527,157.39643073875948,154.12874386051504,157.07533264160156,2322600,0.0,0.0
2021-01-06 00:00:00-05:00,153.92094899484275,157.98194155686087,153.91151002062966,155.1864776611328,3619700,0.0,0.0
2021-01-07 00:00:00-05:00,155.05423825867655,157.8308240752633,152.78764523854082,156.61253356933594,3025500,0.0,0.0
2021-01-08 00:00:00-05:00,156.98085220649764,157.5852779606838,155.48867297352157,157.16029357910156,3438100,0.0,0.0
2021-01-11 00:00:00-05:00,174.71701322953572,178.77800614889256,171.9026567270903,175.60476684570312,11396500,0.0,0.0
2021-01-12 00:00:00-05:00,172.62982942593314,173.99924443309652,167.5772114442161,168.8616180419922,7179300,0.0,0.0
2021-01-13 00:00:00-05:00,169.8343559485343,177.1913513281857,169.37158685274713,175.18919372558594,7303900,0.0,0.0
2021-01-14 00:00:00-05:00,174.97198014335808,178.4568779628517,174.3203307090597,176.31304931640625,4413200,0.0,0.0
2021-01-15 00:00:00-05:00,176.41694171331912,181.12013015895533,176.41694171331912,180.16627502441406,6624600,0.0,0.0
2021-01-19 00:00:00-05:00,185.10559031518918,188.4299396456273,183.28287381746225,187.44773864746094,7729100,0.0,0.0
2021-01-20 00:00:00-05:00,187.72160933075014,190.5548578888188,187.63660092191608,190.0731964111328,5335800,0.0,0.0
2021-01-21 00:00:00-05:00,192.37753780231841,193.34084616473208,187.00380841514985,191.1025848388672,8698800,0.0,0.0
2021-01-22 00:00:00-05:00,190.80983379733286,195.05970649888246,189.41210192158215,194.68194580078125,6128800,0.0,0.0
2021-01-25 00:00:00-05:00,196.6652323350396,200.71677144413152,196.5235612603373,200.54678344726562,5959100,0.0,0.0
2021-01-26 00:00:00-05:00,200.73567594306482,201.3778720731493,198.89406714573636,200.89622497558594,6601500,0.0,0.0
2021-01-27 00:00:00-05:00,199.3379428037352,200.23513535009985,193.699776694977,196.03248596191406,7358000,0.0,0.0
2021-01-28 00:00:00-05:00,196.43857705470796,200.0651319417778,196.0324849904079,198.44073486328125,5460400,0.0,0.0
2021-01-29 00:00:00-05:00,200.17853601766342,205.88280557454618,193.09541197266756,196.41030883789062,8401700,0.0,0.0
2021-02-01 00:00:00-05:00,197.8173950281029,198.2234870183529,191.8109082870061,191.8486785888672,5383800,0.0,0.0
2021-02-02 00:00:00-05:00,193.01978265920275,194.4552848710338,186.38053809488062,186.578857421875,5314600,0.0,0.0
2021-02-03 00:00:00-05:00,186.8149520941786,189.44042777885622,185.94609098513715,186.01220703125,3679000,0.0,0.0
2021-02-04 00:00:00-05:00,185.87053816361518,190.65873490939,184.76557300935485,190.41317749023438,2924300,0.0,0.0
2021-02-05 00:00:00-05:00,190.4131995217225,191.64094352761504,189.68600938562204,190.55487060546875,2732200,0.0,0.0
2021-02-08 00:00:00-05:00,191.13097930296738,194.95585386744526,190.68710248006386,194.33255004882812,2909300,0.0,0.0
2021-02-09 00:00:00-05:00,192.42480218456893,193.55809875088838,189.18546151152978,190.49819946289062,2661300,0.0,0.0
2021-02-10 00:00:00-05:00,193.10480613352257,194.1247774885604,190.43210621822567,193.0292510986328,3062700,0.0,0.0
2021-02-11 00:00:00-05:00,192.39382301371418,193.63617252080073,191.20837280148234,192.11880493164062,3544700,0.85,0.0
2021-02-12 00:00:00-05:00,191.2368502502996,197.46758441759133,190.7626700964721,196.58560180664062,2611300,0.0,0.0
2021-02-16 00:00:00-05:00,195.34322291368846,196.7752560254791,193.09561395124584,195.13458251953125,2741900,0.0,0.0
2021-02-17 00:00:00-05:00,194.42331283499135,196.0165654420848,193.72153557199098,195.79844665527344,3329900,0.0,0.0
2021-02-18 00:00:00-05:00,194.69836048790202,194.81215908622482,190.57298764875335,190.7342071533203,3919400,0.0,0.0
2021-02-19 00:00:00-05:00,190.74370242568216,192.40333286938167,189.9850113286823,190.54454040527344,3434900,0.0,0.0
2021-02-22 00:00:00-05:00,188.89439984080224,191.19892292187401,187.73741357428963,190.3169403076172,2263600,0.0,0.0
2021-02-23 00:00:00-05:00,189.9660467305822,193.75948787772245,188.4202148324571,192.02398681640625,3287700,0.0,0.0
2021-02-24 00:00:00-05:00,191.25578600070787,195.79843913467417,191.21785796260835,193.9586181640625,2848800,0.0,0.0
2021-02-25 00:00:00-05:00,193.05764877367272,194.93539748904124,191.33162665782672,193.29473876953125,2386700,0.0,0.0
2021-02-26 00:00:00-05:00,196.02608500298294,196.30111761313185,191.62569347807755,194.30955505371094,3887900,0.0,0.0
2021-03-01 00:00:00-05:00,195.1535363331939,197.48650849988866,194.20517625208367,195.8079071044922,2797400,0.0,0.0
2021-03-02 00:00:00-05:00,198.10294669507667,199.10820611611442,193.5603080460023,193.59823608398438,3445300,0.0,0.0
2021-03-03 00:00:00-05:00,192.8680202799877,193.75948123433304,189.39703274719383,191.5687713623047,3660300,0.0,0.0
2021-03-04 00:00:00-05:00,193.2663136341688,194.16726737679247,188.35381487524,190.18414306640625,4308400,0.0,0.0
2021-03-05 00:00:00-05:00,190.63939073581764,196.94598091529247,190.5066208732233,196.23471069335938,3875900,0.0,0.0
2021-03-08 00:00:00-05:00,196.31057012579234,199.99969088893664,195.66569210712578,196.33901977539062,3300300,0.0,0.0
2021-03-09 00:00:00-05:00,197.58134599591256,201.20408863822928,195.41908605734605,195.4665069580078,4227300,0.0,0.0
2021-03-10 00:00:00-05:00,196.20623237256135,197.29684076516753,193.83533197921955,194.84059143066406,3400200,0.0,0.0
2021-03-11 00:00:00-05:00,195.84584794237776,196.54763965777067,193.7215304831601,194.6129913330078,4037300,0.0,0.0
2021-03-12 00:00:00-05:00,194.30950669824085,197.6951593125436,191.83428617703302,197.33477783203125,4541400,0.0,0.0
2021-03-15 00:00:00-04:00,183.042977627995,183.20419710843984,178.48136786390995,179.3917999267578,12388500,0.0,0.0
2021-03-16 00:00:00-04:00,181.64894225667373,181.72481282417434,177.5615113018347,181.0419921875,6194200,0.0,0.0
2021-03-17 00:00:00-04:00,179.93240713107127,180.02724895544577,176.9261065250326,177.0873260498047,5134200,0.0,0.0
2021-03-18 00:00:00-04:00,176.41396858288195,177.42870647278204,174.30860777969943,174.431884765625,4240000,0.0,0.0
2021-03-19 00:00:00-04:00,175.16211604490775,176.20531799367717,174.38446825013844,174.77328491210938,6048600,0.0,0.0
2021-03-22 00:00:00-04:00,174.54569722901988,176.30964777505122,173.73958527288298,176.24325561523438,2666600,0.0,0.0
2021-03-23 00:00:00-04:00,175.77856796141953,177.0209175017479,173.7870057632502,174.19479370117188,3284700,0.0,0.0
2021-03-24 00:00:00-04:00,174.2137376383265,174.34650746599618,170.53411049827,170.86602783203125,3931500,0.0,0.0
2021-03-25 00:00:00-04:00,171.65319977871465,174.15687018007932,170.91347996495884,173.63526916503906,2630500,0.0,0.0
2021-03-26 00:00:00-04:00,174.54570242867013,176.30965302724888,173.1990326447186,175.74063110351562,2868200,0.0,0.0
2021-03-29 00:00:00-04:00,175.12419954017153,177.978758557697,174.03357661811398,176.71743774414062,3002600,0.0,0.0
2021-03-30 00:00:00-04:00,175.94924127019067,177.21056189004588,175.1715935436278,175.92079162597656,2523600,0.0,0.0
2021-03-31 00:00:00-04:00,175.98720299047372,178.23481195373788,175.69319918345184,177.1726531982422,3621300,0.0,0.0
2021-04-01 00:00:00-04:00,177.17266628085667,178.35811657616003,175.12420469757353,175.67425537109375,2340400,0.0,0.0
2021-04-05 00:00:00-04:00,176.00618023196105,176.30016960232552,173.6447724049501,175.3423309326172,2864800,0.0,0.0
2021-04-06 00:00:00-04:00,175.15262950564252,176.04409031661012,173.06624017598045,173.3602294921875,2488400,0.0,0.0
2021-04-07 00:00:00-04:00,173.45506544891973,173.7206051329508,171.8618273447333,172.905029296875,3406600,0.0,0.0
2021-04-08 00:00:00-04:00,173.50246212597398,174.4697933946433,173.04725336988128,173.18002319335938,2393200,0.0,0.0
2021-04-09 00:00:00-04:00,173.1041595862158,175.57937990723659,172.99036101034275,174.96295166015625,2611200,0.0,0.0
2021-04-12 00:00:00-04:00,173.95767770363884,174.44135059235293,171.53937114337236,172.4308319091797,2876100,0.0,0.0
2021-04-13 00:00:00-04:00,171.82392523886952,174.15689812096377,171.82392523886952,173.10421752929688,3089100,0.0,0.0
2021-04-14 00:00:00-04:00,173.16106513085077,174.94398672835484,172.64895705009246,173.54989624023438,2002100,0.0,0.0
2021-04-15 00:00:00-04:00,174.29911050742993,178.02617352666795,173.93874348044918,176.31912231445312,2586600,0.0,0.0
2021-04-16 00:00:00-04:00,177.7037136427753,180.47292329658123,177.22953361018884,179.47714233398438,3731800,0.0,0.0
2021-04-19 00:00:00-04:00,179.46770756848787,181.0230178746089,178.35812775901397,179.8470458984375,2966400,0.0,0.0
2021-04-20 00:00:00-04:00,180.57726811112147,183.5076976391825,180.34965645493907,180.76693725585938,2460900,0.0,0.0
2021-04-21 00:00:00-04:00,181.66785569985527,183.0429749299436,179.99874715853463,181.08935546875,2219800,0.0,0.0
2021-04-22 00:00:00-04:00,180.18846827130443,181.3928899794768,177.10629710350582,177.39080810546875,2982600,0.0,0.0
2021-04-23 00:00:00-04:00,177.3717718283913,179.36333364126685,177.3717718283913,178.97450256347656,2482800,0.0,0.0
2021-04-26 00:00:00-04:00,178.8322786725745,178.90813474950022,176.4518854581575,177.55198669433594,2797500,0.0,0.0
2021-04-27 00:00:00-04:00,174.49827862341795,176.27170758528433,171.45403598244272,172.80072021484375,6838700,0.0,0.0
2021-04-28 00:00:00-04:00,172.07994350358143,172.60154447169984,169.35815454834628,171.22642517089844,4682800,0.0,0.0
2021-04-29 00:00:00-04:00,171.7100840123988,173.19901637281396,170.7048245829648,172.7912139892578,2432500,0.0,0.0
2021-04-30 00:00:00-04:00,172.44980465297223,174.45084513031938,171.83337634934387,173.331787109375,3103900,0.0,0.0
2021-05-03 00:00:00-04:00,173.54043394273702,176.72692471526207,173.47404178437105,176.31912231445312,3197000,0.0,0.0
2021-05-04 00:00:00-04:00,177.8459694841638,180.26429064813485,177.13469940480914,178.4813690185547,3703500,0.0,0.0
2021-05-05 00:00:00-04:00,178.90815051371231,183.5740955512806,178.45294165791125,182.85333251953125,4274400,0.0,0.0
2021-05-06 00:00:00-04:00,181.6583587987907,184.07667966506114,179.54352007501578,183.8775177001953,3101600,0.0,0.0
2021-05-07 00:00:00-04:00,184.7595143733539,186.13463357019407,183.88701038128556,185.32852172851562,2526700,0.0,0.0
2021-05-10 00:00:00-04:00,186.03982814162998,186.45710896614537,183.50770801558878,184.70263671875,2242000,0.0,0.0
2021-05-11 00:00:00-04:00,183.40336017122084,185.64149059839212,183.0429787005696,184.69313049316406,1850200,0.0,0.0
2021-05-12 00:00:00-04:00,184.69313615112836,185.54665448364992,182.77744462805012,183.22317504882812,2397400,0.0,0.0
2021-05-13 00:00:00-04:00,183.12794291738274,186.8047906231488,182.65166738313727,185.6903076171875,2174300,0.85,0.0
2021-05-14 00:00:00-04:00,186.42371850914125,187.90969539208837,185.6711952576672,186.89999389648438,1823700,0.0,0.0
2021-05-17 00:00:00-04:00,187.157193994232,190.13868291826358,185.8331488442054,186.2522735595703,2466000,0.0,0.0
2021-05-18 00:00:00-04:00,185.7474740640576,187.03342392918114,184.3948531765849,185.39503479003906,2369400,0.0,0.0
2021-05-19 00:00:00-04:00,184.42341397438565,188.0240558704617,183.94713843749966,187.18580627441406,3070500,0.0,0.0
2021-05-20 00:00:00-04:00,187.80497385709762,191.53897233530992,186.86194305821053,190.06251525878906,3494400,0.0,0.0
2021-05-21 00:00:00-04:00,190.51019074554617,192.33908683253054,190.0053399028524,190.39588928222656,2579000,0.0,0.0
2021-05-24 00:00:00-04:00,191.46277169043043,193.95845092899816,190.54831623630886,191.48182678222656,2074900,0.0,0.0
2021-05-25 00:00:00-04:00,191.87234149048226,192.27242570220415,189.6910060896762,189.7672119140625,2919100,0.0,0.0
2021-05-26 00:00:00-04:00,189.77671761455912,192.8344124935547,188.8432217733857,191.45321655273438,2891300,0.0,0.0
2021-05-27 00:00:00-04:00,191.12934971059536,191.82472239608103,186.22371794189266,189.74815368652344,9340300,0.0,0.0
2021-05-28 00:00:00-04:00,189.67195121862795,192.68201587887242,189.10994961475237,190.26254272460938,2386000,0.0,0.0
2021-06-01 00:00:00-04:00,190.81501299384686,191.35795947644817,187.34771358767605,189.00515747070312,3070200,0.0,0.0
2021-06-02 00:00:00-04:00,189.56718728139455,191.38656335253353,188.84325368515877,189.68150329589844,2030300,0.0,0.0
2021-06-03 00:00:00-04:00,189.54812109799354,193.9774772559139,189.18614708142593,193.0820770263672,3066600,0.0,0.0
2021-06-04 00:00:00-04:00,193.1677798589953,194.74901775328834,191.73895358856063,192.434326171875,2817700,0.0,0.0
2021-06-07 00:00:00-04:00,192.40578360457792,222.25872874824503,192.2533719547411,211.96165466308594,17231400,0.0,0.0
2021-06-08 00:00:00-04:00,211.1900672825017,211.7234934630804,207.05598531347036,210.2279815673828,4618500,0.0,0.0
2021-06-09 00:00:00-04:00,210.8471934570461,215.9719085316998,209.80890170345083,215.27655029296875,4934900,0.0,0.0
2021-06-10 00:00:00-04:00,216.2005326023634,224.6591913451494,215.51469462133875,222.4587860107422,5598200,0.0,0.0
2021-06-11 00:00:00-04:00,216.25768654606523,218.69621516590306,211.0472305897871,213.45718383789062,5636000,0.0,0.0
2021-06-14 00:00:00-04:00,213.59053046094857,215.9052372069624,212.437951761989,215.37181091308594,2720700,0.0,0.0
2021-06-15 00:00:00-04:00,215.37176767495188,215.90519386173744,212.29501775475723,212.9141845703125,2188900,0.0,0.0
2021-06-16 00:00:00-04:00,212.92374207414795,213.71436121592612,209.7517452287402,210.28517150878906,2548800,0.0,0.0
2021-06-17 00:00:00-04:00,209.8184001644317,212.5141210757539,209.8184001644317,211.66635131835938,1890700,0.0,0.0
2021-06-18 00:00:00-04:00,209.97082457319073,210.5614161179594,207.96095577663104,208.18003845214844,4016600,0.0,0.0
2021-06-21 00:00:00-04:00,208.7039233009125,213.15233458578706,207.73231724196188,212.10452270507812,3671300,0.0,0.0
2021-06-22 00:00:00-04:00,212.0664451809907,212.99994114143487,210.04702706878786,210.9329071044922,1658800,0.0,0.0
2021-06-23 00:00:00-04:00,211.64730923160315,211.69493968860672,206.70356721099284,206.798828125,2419600,0.0,0.0
2021-06-24 00:00:00-04:00,223.77325811135958,228.01210675538871,219.48677901485908,221.91578674316406,12290500,0.0,0.0
2021-06-25 00:00:00-04:00,222.05868728716504,222.41114104528512,218.5056760818084,219.29629516601562,6992200,0.0,0.0
2021-06-28 00:00:00-04:00,218.13416287871343,218.9724123478902,216.1147595590861,217.39117431640625,2507500,0.0,0.0
2021-06-29 00:00:00-04:00,217.4197655739838,220.42029540764474,217.03875098820217,218.4866180419922,1621200,0.0,0.0
2021-06-30 00:00:00-04:00,219.17250902094148,219.8964572579949,218.19138241683007,218.6295623779297,1786700,0.0,0.0
2021-07-01 00:00:00-04:00,218.61995880538225,220.51554038941237,217.8102992353998,220.16310119628906,1977300,0.0,0.0
2021-07-02 00:00:00-04:00,220.96327432686041,223.09699397024121,220.35364221943388,222.85885620117188,1994000,0.0,0.0
2021-07-06 00:00:00-04:00,222.54451272175223,224.401984414539,222.16348357017034,224.24957275390625,3125400,0.0,0.0
2021-07-07 00:00:00-04:00,223.54467780398923,225.36405383337473,222.3825788722825,224.63059997558594,3141500,0.0,0.0
2021-07-08 00:00:00-04:00,222.734994931386,226.01177259186846,221.08708582396898,225.86888122558594,2431500,0.0,0.0
2021-07-09 00:00:00-04:00,225.91655083449325,227.1548702163496,221.70627656400313,223.83999633789062,4030100,0.0,0.0
2021-07-12 00:00:00-04:00,224.0114298161705,226.70715104546403,223.9923747253371,224.8115692138672,2928600,0.0,0.0
2021-07-13 00:00:00-04:00,224.78296630869363,225.42117369306365,222.92549488630718,224.13523864746094,1974000,0.0,0.0
2021-07-14 00:00:00-04:00,224.6020266822141,225.973702648016,223.59232480038128,225.13546752929688,2103400,0.0,0.0
2021-07-15 00:00:00-04:00,223.85899295319703,224.7925033468416,219.74398041782692,220.48696899414062,3611200,0.0,0.0
