Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,130.78230838608772,130.891034300663,125.71877367845528,127.20987701416016,4304000,0.0,0.0
2021-01-05 00:00:00-05:00,126.34007589803664,127.37297815919462,125.21398336828138,125.439208984375,3967000,0.0,0.0
2021-01-06 00:00:00-05:00,124.47615876974295,126.68952172792743,124.26646888364785,125.0663833618164,5061400,0.0,0.0
2021-01-07 00:00:00-05:00,125.51683416265595,125.7109884102038,122.8142103548557,123.48210144042969,6024300,0.0,0.0
2021-01-08 00:00:00-05:00,123.56754997692593,124.18107228533638,122.2938983788797,123.00838470458984,4844800,0.0,0.0
2021-01-11 00:00:00-05:00,123.38115013522433,125.76537022855454,122.5035809041682,125.70323944091797,6127800,0.0,0.0
2021-01-12 00:00:00-05:00,126.09931401085612,127.714678991609,124.20436640169916,127.2953109741211,4612100,0.0,0.0
2021-01-13 00:00:00-05:00,127.01573993852192,127.71469064820757,125.77314773215018,126.67402648925781,2643000,0.0,0.0
2021-01-14 00:00:00-05:00,127.13220135676775,128.60000702230434,126.75942851240919,126.95358276367188,2625000,0.0,0.0
2021-01-15 00:00:00-05:00,126.37887867934728,126.56527102187361,122.86857843852849,123.40443420410156,4816300,0.0,0.0
2021-01-19 00:00:00-05:00,124.02577293031936,124.10343939571257,121.19112469705021,121.36974334716797,4537400,0.0,0.0
2021-01-20 00:00:00-05:00,121.85897829042662,124.48393573483972,121.17555152726727,124.13446044921875,3029800,0.0,0.0
2021-01-21 00:00:00-05:00,123.74614353128098,125.57896003043028,123.65295328817938,124.33638000488281,2002800,0.0,0.0
2021-01-22 00:00:00-05:00,123.01613690645553,124.60820424099403,122.2395198506061,123.47434997558594,3131600,0.0,0.0
2021-01-25 00:00:00-05:00,124.03352700912652,127.47393520587877,123.56755199117178,125.6178207397461,3938100,0.0,0.0
2021-01-26 00:00:00-05:00,126.10710428930305,126.40221076611441,124.63929826041961,125.36930847167969,2962400,0.0,0.0
2021-01-27 00:00:00-05:00,123.87042400851745,123.94809045645425,121.92111940775997,122.43367767333984,2821500,0.0,0.0
2021-01-28 00:00:00-05:00,123.53648582068938,123.77723522182325,122.08420380862212,122.1385726928711,2565100,0.0,0.0
2021-01-29 00:00:00-05:00,121.94444151898666,122.4725355505042,120.18927898429214,120.37567138671875,5007900,0.0,0.0
2021-02-01 00:00:00-05:00,121.3075766275854,122.04536042941895,120.30574588197739,121.35417175292969,4783000,0.0,0.0
2021-02-02 00:00:00-05:00,126.74388301910753,127.52049996389401,121.8744914572307,124.48392486572266,10758300,0.0,0.0
2021-02-03 00:00:00-05:00,124.79462035992685,125.40038083080029,121.81241314174407,124.03353881835938,4559200,0.0,0.0
2021-02-04 00:00:00-05:00,123.66073664953356,126.1303851723735,122.56571555237646,126.01388549804688,2811100,0.0,0.0
2021-02-05 00:00:00-05:00,126.58859626013941,127.78458146468905,125.59452724979657,127.66033172607422,2560300,0.0,0.0
2021-02-08 00:00:00-05:00,127.70694280890869,128.50685763041196,126.44105289613184,126.9380874633789,2242200,0.0,0.0
2021-02-09 00:00:00-05:00,126.97687542010348,130.161009757888,126.41771025005123,129.63290405273438,3073600,0.0,0.0
2021-02-10 00:00:00-05:00,130.42508989243913,130.6503036584403,127.78458439485006,128.65440368652344,2943700,0.0,0.0
2021-02-11 00:00:00-05:00,128.91845902859484,129.13591090303365,125.18293208169598,126.09933471679688,3188400,0.0,0.0
2021-02-12 00:00:00-05:00,126.17698552822762,127.23318529459313,125.8430340016095,126.89147186279297,2563800,0.0,0.0
2021-02-16 00:00:00-05:00,127.32637605518521,127.34191171584689,125.09748868483092,125.6178207397461,2867700,0.0,0.0
2021-02-17 00:00:00-05:00,125.10525494370673,125.74208670039083,124.18107863108523,125.03536224365234,2845400,0.0,0.0
2021-02-18 00:00:00-05:00,124.10339094700002,126.29344458329504,123.18697678412225,125.90513610839844,3595900,0.0,0.0
2021-02-19 00:00:00-05:00,126.08490982601796,126.82736490687479,125.29556460272504,125.46749114990234,3081700,1.02,0.0
2021-02-22 00:00:00-05:00,124.8266408724849,127.0071159996013,123.49021217019305,126.29592895507812,3894800,0.0,0.0
2021-02-23 00:00:00-05:00,125.02202670845882,126.15524891141557,123.30265385653146,125.67851257324219,4385800,0.0,0.0
2021-02-24 00:00:00-05:00,125.2642817999924,126.53036319766832,124.32644328596344,125.10016632080078,2963400,0.0,0.0
2021-02-25 00:00:00-05:00,124.2639548271628,125.27995181143203,122.72433128817596,123.0994644165039,2617100,0.0,0.0
2021-02-26 00:00:00-05:00,123.93571434073318,124.44370688044656,122.38045674526396,123.34956359863281,3492800,0.0,0.0
2021-03-01 00:00:00-05:00,124.6937991515358,127.12437128598151,123.9357099313691,126.19434356689453,3271500,0.0,0.0
