Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-04 00:00:00-05:00,348.4910332362678,348.6210426946345,338.7506384714175,342.43695068359375,110210800,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,341.7962383123607,345.88181651795514,341.74979422078724,344.79541015625,66426200,0.0,0.0,0.0
2021-01-06 00:00:00-05:00,343.291214067815,350.04173174075373,342.74337775337597,346.8568115234375,107997700,0.0,0.0,0.0
2021-01-07 00:00:00-05:00,349.22456754371,352.7530149569909,349.04814233936133,352.01019287109375,68766800,0.0,0.0,0.0
2021-01-08 00:00:00-05:00,353.3937336428552,354.22941562712896,350.1531317059406,354.015869140625,71677200,0.0,0.0,0.0
2021-01-11 00:00:00-05:00,350.8495752953006,353.384476638568,350.72886031003054,351.6295471191406,51034700,0.0,0.0,0.0
2021-01-12 00:00:00-05:00,351.8151841603632,352.71584242095815,349.4659464169587,351.7037353515625,52547700,0.0,0.0,0.0
2021-01-13 00:00:00-05:00,351.62950774382404,353.64442764556827,350.8495360073249,352.6509094238281,45303600,0.0,0.0,0.0
2021-01-14 00:00:00-05:00,353.39372265354797,353.89514316325904,351.0816626236897,351.4159240722656,49989100,0.0,0.0,0.0
2021-01-15 00:00:00-05:00,349.80025180486865,350.5987841141442,346.99606590019863,348.8531494140625,107160000,0.0,0.0,0.0
2021-01-19 00:00:00-05:00,351.3045309935299,352.1309468672761,349.82815280679114,351.5923767089844,51233300,0.0,0.0,0.0
2021-01-20 00:00:00-05:00,353.87657321374,357.2936287805517,353.4866015027723,356.45794677734375,61836100,0.0,0.0,0.0
2021-01-21 00:00:00-05:00,357.0150334029827,357.44218304043847,355.86365062010475,356.78289794921875,47840100,0.0,0.0,0.0
2021-01-22 00:00:00-05:00,354.93503377752586,356.6806965547213,354.5543283134063,355.52001953125,52860500,0.0,0.0,0.0
2021-01-25 00:00:00-05:00,356.2535985157263,357.2749716933398,351.4158759647186,356.9221496582031,70402000,0.0,0.0,0.0
2021-01-26 00:00:00-05:00,357.86925374578055,358.2778143535909,356.1328853310083,356.3650207519531,42665300,0.0,0.0,0.0
2021-01-27 00:00:00-05:00,353.05022197979747,353.14308184233016,345.4269004912862,347.6553955078125,123351100,0.0,0.0,0.0
2021-01-28 00:00:00-05:00,349.46593655582046,354.6379205656578,349.02954916525357,350.64520263671875,94198100,0.0,0.0,0.0
